Case,Size,Folder,RVE,Point_Index,True_Strain,True_Stress,Source_File
05_001_800,L=2.4um,242424,RVE2,14,0.0751074739796861,95.76683463158992,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,15,0.0806579019727236,93.93375040766512,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,16,0.0861776995220419,92.07851625559648,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,17,0.0916671892871969,90.21457269261091,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,18,0.0971267089999163,88.34317015439579,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,19,0.1025565908534479,86.47536398534605,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,20,0.1079571415585973,84.62210622109967,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,21,0.1133286829121737,82.79993673204682,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,22,0.1186715315172836,81.01505717977236,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,23,0.1239859791491398,79.27183135639935,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,24,0.1292723326662926,77.57760045538475,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,25,0.134530887539002,75.93203934391639,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,26,0.1397619475581712,74.33157910796805,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,27,0.1449657730344857,72.78183925548257,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,28,0.1501426588400785,71.28799346034498,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,1,0.0,0.0,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,2,0.0059820717293904,106.14696505001908,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,3,0.011928570968345,108.7510167339942,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,4,0.0178399173671714,108.38247977943422,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,5,0.0237165268210428,108.6045102941164,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,6,0.0295588015905227,107.6704919078784,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,7,0.0353671423414218,106.50831799999278,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,8,0.0411419427877547,105.20964848134577,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,9,0.046883586296973,103.80608520402016,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,10,0.0525924514481166,102.31425201802872,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,11,0.0582689068587828,100.74391052074418,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,12,0.063913325408167,99.10357295349624,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,13,0.0695260597573401,97.3995772477336,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,14,0.0751074739796861,95.63730847543026,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,15,0.0806579019727236,93.82577752095068,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,16,0.0861776995220419,91.97216911822024,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,17,0.0916671892871969,90.08858412078288,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,18,0.0971267089999163,88.18052605095596,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,19,0.1025565908534479,86.255566603142,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,20,0.1079571415585973,84.3295742892422,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,21,0.1133286829121737,82.41869871393493,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,22,0.1186715315172836,80.52872820618657,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,23,0.1239859791491398,78.66115063536095,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,24,0.1292723326662926,76.8295953942116,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,25,0.134530887539002,75.04116939572944,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,26,0.1397619475581712,73.3155543542177,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE3,27,0.1449657730344857,71.64573646996391,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE3\05_001_800.csv
