Case,Size,Folder,Sample_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Errorbar_Lower,Errorbar_Upper,Experiment_Stress,Relative_Error_pct
01_001_20,L=2.4um,242424,4,0.09775,1137.3089474728993,1159.1033851349064,1155.2676346083376,1150.5599890720478,11.634896781763516,11.634896781763516,1096.4058213656388,4.93924481712043
02_001_500,L=1.6um,161616,1,0.034965,518.402749704789,586.252268228063,567.7452193864744,557.4667457731088,35.0731315371969,35.0731315371969,556.8150451256281,0.11704077560145956
02_001_500,L=1.6um,161616,2,0.062937,518.3306010097868,585.9149087067422,572.3048210526332,558.8501102563873,35.74467224184806,35.74467224184806,563.6267306529412,0.8474793931473651
02_001_500,L=1.6um,161616,3,0.09090900000000002,513.5677442269115,579.4618303221714,565.2449958228472,552.7581901239768,34.6763302989718,34.6763302989718,565.6716168604651,2.282848626586417
02_001_500,L=1.6um,161616,4,0.118881,507.0121850797891,567.1637687283139,554.7502275302197,542.9753937794409,31.757491812960126,31.757491812960126,545.7143867127659,0.5019096069326553
02_001_500,L=2.0um,202020,1,0.034965,573.6441043871284,556.8916823070979,555.2505950098301,561.9287939013522,10.178883372596339,10.178883372596339,556.8150451256281,0.9183927087620789
02_001_500,L=2.0um,202020,2,0.062937,580.9037583143519,556.1189508319915,557.5874332053635,564.870047450569,13.904999934116116,13.904999934116116,563.6267306529412,0.22059223418794835
02_001_500,L=2.0um,202020,3,0.09090900000000002,577.9782258763148,550.434324926823,552.0767501806702,560.163100327936,15.450191387390424,15.450191387390424,565.6716168604651,0.9738011185892366
02_001_500,L=2.0um,202020,4,0.118881,571.21899391627,543.0686940242819,543.7195196593038,552.6690691999519,16.068001547722208,16.068001547722208,545.7143867127659,1.2744180209503198
02_001_500,L=2.4um,242424,1,0.034965,595.6292620603977,604.0953845037812,608.223400854901,602.6493491396933,6.420385245407655,6.420385245407655,556.8150451256281,8.231513213462847
02_001_500,L=2.4um,242424,2,0.062937,597.9212274124402,605.0135186706977,606.5930131126927,603.1759197319435,4.618716726814798,4.618716726814798,563.6267306529412,7.016911535261289
02_001_500,L=2.4um,242424,3,0.09090900000000002,589.5757200645143,595.5536309014636,595.6290879485781,593.5861463048519,3.4733359200316256,3.4733359200316256,565.6716168604651,4.934758720848561
02_001_500,L=2.4um,242424,4,0.118881,577.548447776545,583.096043454598,581.5988477003594,580.7477796438342,2.8700508844646495,2.8700508844646495,545.7143867127659,6.419730500802788
05_001_800,L=1.6um,161616,1,0.035,88.89939101253583,101.98242083249069,101.30648032121148,97.396097388746,7.366120982331544,7.366120982331544,91.81266,6.081337136671572
05_001_800,L=1.6um,161616,2,0.06300000000000001,85.61460489126213,95.49858683148211,94.46068600421768,91.85795924232065,5.431750610665953,5.431750610665953,85.9888,6.825492671511463
05_001_800,L=1.6um,161616,3,0.09100000000000001,81.75972046802649,88.04998858798126,86.21173127597987,85.34048011066254,3.234374313531127,3.234374313531127,84.24759,1.2972360522865254
05_001_800,L=1.6um,161616,4,0.11900000000000001,77.50532214633445,79.84945583688781,77.52794588486906,78.29424128936377,1.3469028083010015,1.3469028083010015,81.70559,4.175171748513453
05_001_800,L=2.0um,202020,1,0.035,102.52323107253277,96.25823482827707,96.92037788722612,98.56728126267865,3.441912626896883,3.441912626896883,91.81266,7.356960644293123
05_001_800,L=2.0um,202020,2,0.06300000000000001,96.09175800439934,90.67150922149582,91.81760769781432,92.86029164123649,2.8566005271204027,2.8566005271204027,85.9888,7.9911472671283805
05_001_800,L=2.0um,202020,3,0.09100000000000001,88.25089809415577,84.33009470641198,85.33293664421264,85.97130981492678,2.0368640185715714,2.0368640185715714,84.24759,2.046016764309556
05_001_800,L=2.0um,202020,4,0.11900000000000001,80.18990662574619,77.64875906814238,78.1394845662605,78.65938342004969,1.3479906679971605,1.3479906679971605,81.70559,3.7282719333527945
05_001_800,L=2.4um,242424,1,0.035,105.18687321351138,107.04624001254744,106.58177843697118,106.27163055434335,0.967706053077746,0.967706053077746,91.81266,15.748340756430926
05_001_800,L=2.4um,242424,2,0.06300000000000001,97.72196225592194,99.5810767396047,99.36899656888384,98.89067852147015,1.017677641358492,1.017677641358492,85.9888,15.004138354611477
05_001_800,L=2.4um,242424,3,0.09100000000000001,88.52412095218679,90.44111527313588,90.31751390944777,89.76091671159014,1.0728779693585755,1.0728779693585755,84.24759,6.544195165214981
05_001_800,L=2.4um,242424,4,0.11900000000000001,78.92192601586031,80.90731414025059,80.41329939522846,80.08084651711312,1.0336030128839955,1.0336030128839955,81.70559,1.9885340560993252
06_01_20,L=1.6um,161616,1,0.0294475,951.4074602762923,1099.0617810679455,1019.2876577003009,1023.2522996815129,73.90695773498256,73.90695773498256,1099.8657131841564,6.965706138874404
